,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,NewJeans,NJWMX,spotify:album:6XRGc3GNodkhSrPwHnx1KX,Ditto (250 Remix),2023-12-19,6JVXVLqCPaodBSEwRFUN8w,spotify:track:6JVXVLqCPaodBSEwRFUN8w,https://api.spotify.com/v1/tracks/6JVXVLqCPaodBSEwRFUN8w,https://api.spotify.com/v1/audio-analysis/6JVXVLqCPaodBSEwRFUN8w,audio_features,0.796,0.543,9.0,-6.113,1.0,0.0593,0.135,0.0,0.134,0.52,133.75,201867,4
1,NewJeans,NJWMX,spotify:album:6XRGc3GNodkhSrPwHnx1KX,OMG (FRNK Remix),2023-12-19,4yjDMKCAeLovlo9ih0AgXW,spotify:track:4yjDMKCAeLovlo9ih0AgXW,https://api.spotify.com/v1/tracks/4yjDMKCAeLovlo9ih0AgXW,https://api.spotify.com/v1/audio-analysis/4yjDMKCAeLovlo9ih0AgXW,audio_features,0.759,0.856,10.0,-3.616,1.0,0.0452,0.268,0.0,0.248,0.686,129.039,210400,4
2,NewJeans,NJWMX,spotify:album:6XRGc3GNodkhSrPwHnx1KX,Attention (250 Remix),2023-12-19,2nW48vXnZZ5EYka46v7GOk,spotify:track:2nW48vXnZZ5EYka46v7GOk,https://api.spotify.com/v1/tracks/2nW48vXnZZ5EYka46v7GOk,https://api.spotify.com/v1/audio-analysis/2nW48vXnZZ5EYka46v7GOk,audio_features,0.727,0.911,10.0,-2.447,1.0,0.034,0.0442,0.0,0.249,0.815,104.984,181400,4
3,NewJeans,NJWMX,spotify:album:6XRGc3GNodkhSrPwHnx1KX,Hype Boy (250 Remix),2023-12-19,6CUKsv928uT4561qJovhhG,spotify:track:6CUKsv928uT4561qJovhhG,https://api.spotify.com/v1/tracks/6CUKsv928uT4561qJovhhG,https://api.spotify.com/v1/audio-analysis/6CUKsv928uT4561qJovhhG,audio_features,0.767,0.645,0.0,-2.283,1.0,0.0435,0.134,0.000402,0.0853,0.656,86.105,251000,4
4,NewJeans,NJWMX,spotify:album:6XRGc3GNodkhSrPwHnx1KX,Cookie (FRNK Remix),2023-12-19,5bwpbZBOY0mrmRhZ94c0kW,spotify:track:5bwpbZBOY0mrmRhZ94c0kW,https://api.spotify.com/v1/tracks/5bwpbZBOY0mrmRhZ94c0kW,https://api.spotify.com/v1/audio-analysis/5bwpbZBOY0mrmRhZ94c0kW,audio_features,0.833,0.468,4.0,-6.817,0.0,0.0575,0.55,0.0,0.102,0.78,80.021,212400,4
5,NewJeans,NJWMX,spotify:album:6XRGc3GNodkhSrPwHnx1KX,Hurt (250 Remix),2023-12-19,2gWWYL6iXZKkOqCE3TQHBM,spotify:track:2gWWYL6iXZKkOqCE3TQHBM,https://api.spotify.com/v1/tracks/2gWWYL6iXZKkOqCE3TQHBM,https://api.spotify.com/v1/audio-analysis/2gWWYL6iXZKkOqCE3TQHBM,audio_features,0.653,0.527,10.0,-6.633,0.0,0.0287,0.165,0.000136,0.325,0.943,89.991,224000,4
6,NewJeans,NewJeans 'Super Shy',spotify:album:5V729UqvhwNOcMejx0m55I,New Jeans,2023-07-07,6rdkCkjk6D12xRpdMXy0I2,spotify:track:6rdkCkjk6D12xRpdMXy0I2,https://api.spotify.com/v1/tracks/6rdkCkjk6D12xRpdMXy0I2,https://api.spotify.com/v1/audio-analysis/6rdkCkjk6D12xRpdMXy0I2,audio_features,0.807,0.721,4.0,-6.211,0.0,0.0508,0.51,0.00216,0.115,0.532,134.014,108987,4
7,NewJeans,NewJeans 'Super Shy',spotify:album:5V729UqvhwNOcMejx0m55I,Super Shy,2023-07-07,5sdQOyqq2IDhvmx2lHOpwd,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/tracks/5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/audio-analysis/5sdQOyqq2IDhvmx2lHOpwd,audio_features,0.776,0.817,5.0,-6.018,0.0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4
8,NewJeans,NewJeans 'OMG',spotify:album:45ozep8uHHnj5CCittuyXj,OMG,2023-01-02,65FftemJ1DbbZ45DUfHJXE,spotify:track:65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,audio_features,0.804,0.771,9.0,-4.067,0.0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4
9,NewJeans,NewJeans 2nd EP 'Get Up',spotify:album:4N1fROq2oeyLGAlQ1C1j18,ETA,2023-07-21,56v8WEnGzLByGsDAXDiv4d,spotify:track:56v8WEnGzLByGsDAXDiv4d,https://api.spotify.com/v1/tracks/56v8WEnGzLByGsDAXDiv4d,https://api.spotify.com/v1/audio-analysis/56v8WEnGzLByGsDAXDiv4d,audio_features,0.812,0.749,10.0,-6.389,0.0,0.0397,0.108,0.0,0.0599,0.841,134.971,151373,4
